Category: All categories

Month,big data: (Worldwide),data science: (Worldwide)
2004-01,7,15
2004-02,8,17
2004-03,4,10
2004-04,3,10
2004-05,5,9
2004-06,6,11
2004-07,5,7
2004-08,6,9
2004-09,4,11
2004-10,5,11
2004-11,4,14
2004-12,5,9
2005-01,6,13
2005-02,5,11
2005-03,7,11
2005-04,5,8
2005-05,7,9
2005-06,5,10
2005-07,6,8
2005-08,4,8
2005-09,5,10
2005-10,5,9
2005-11,5,10
2005-12,4,7
2006-01,5,10
2006-02,4,9
2006-03,5,8
2006-04,4,8
2006-05,5,8
2006-06,4,7
2006-07,4,5
2006-08,4,6
2006-09,5,9
2006-10,4,7
2006-11,4,8
2006-12,3,6
2007-01,5,7
2007-02,4,8
2007-03,4,7
2007-04,2,8
2007-05,3,6
2007-06,5,7
2007-07,4,6
2007-08,5,6
2007-09,5,8
2007-10,5,8
2007-11,4,8
2007-12,3,6
2008-01,4,7
2008-02,4,8
2008-03,4,7
2008-04,6,7
2008-05,4,6
2008-06,3,6
2008-07,4,6
2008-08,4,6
2008-09,6,9
2008-10,5,6
2008-11,5,7
2008-12,4,6
2009-01,5,8
2009-02,5,8
2009-03,6,7
2009-04,5,7
2009-05,5,6
2009-06,4,7
2009-07,5,6
2009-08,4,6
2009-09,5,8
2009-10,5,8
2009-11,6,8
2009-12,6,7
2010-01,5,8
2010-02,5,7
2010-03,6,8
2010-04,6,8
2010-05,5,7
2010-06,5,6
2010-07,6,6
2010-08,5,6
2010-09,6,8
2010-10,5,7
2010-11,6,8
2010-12,6,7
2011-01,7,8
2011-02,7,8
2011-03,7,7
2011-04,7,7
2011-05,8,7
2011-06,9,6
2011-07,8,6
2011-08,8,7
2011-09,9,10
2011-10,12,8
2011-11,13,9
2011-12,12,6
2012-01,16,8
2012-02,20,8
2012-03,21,8
2012-04,24,7
2012-05,25,7
2012-06,25,7
2012-07,26,7
2012-08,26,8
2012-09,32,12
2012-10,39,10
2012-11,40,9
2012-12,35,9
2013-01,42,11
2013-02,44,10
2013-03,51,10
2013-04,55,11
2013-05,54,11
2013-06,55,9
2013-07,53,9
2013-08,53,11
2013-09,59,15
2013-10,64,13
2013-11,64,13
2013-12,55,12
2014-01,65,16
2014-02,73,16
2014-03,74,15
2014-04,76,15
2014-05,71,15
2014-06,70,15
2014-07,78,15
2014-08,73,19
2014-09,85,22
2014-10,87,20
2014-11,84,20
2014-12,75,18
2015-01,79,23
2015-02,88,21
2015-03,91,22
2015-04,88,25
2015-05,82,23
2015-06,84,24
2015-07,79,24
2015-08,77,28
2015-09,89,32
2015-10,89,31
2015-11,87,28
2015-12,76,26
2016-01,79,32
2016-02,92,33
2016-03,90,31
2016-04,86,32
2016-05,88,33
2016-06,87,33
2016-07,78,32
2016-08,76,36
2016-09,87,43
2016-10,89,40
2016-11,92,42
2016-12,81,40
2017-01,86,49
2017-02,96,51
2017-03,100,54
2017-04,93,51
2017-05,93,53
2017-06,86,52
2017-07,82,51
2017-08,82,57
2017-09,92,63
2017-10,97,64
2017-11,97,64
2017-12,78,58
2018-01,88,69
2018-02,91,69
2018-03,93,72
2018-04,89,70
2018-05,84,73
2018-06,78,70
2018-07,78,72
2018-08,80,78
2018-09,91,83
2018-10,99,85
2018-11,88,80
2018-12,72,74
2019-01,79,90
2019-02,83,94
2019-03,84,93
2019-04,80,91
2019-05,79,93
